DATE,CPILFESL,feb2021_index,feb2021_multiple
1992-01-01,145.1,270.813,1.866388697
1992-02-01,145.4,270.813,1.862537827
1992-03-01,145.9,270.813,1.856154901
1992-04-01,146.3,270.813,1.851079973
1992-05-01,146.8,270.813,1.844775204
1992-06-01,147.1,270.813,1.841012916
1992-07-01,147.6,270.813,1.834776423
1992-08-01,147.9,270.813,1.831054767
1992-09-01,148.1,270.813,1.828582039
1992-10-01,148.8,270.813,1.819979839
1992-11-01,149.2,270.813,1.815100536
1992-12-01,149.6,270.813,1.810247326
1993-01-01,150.1,270.813,1.804217189
1993-02-01,150.6,270.813,1.798227092
1993-03-01,150.8,270.813,1.795842175
1993-04-01,151.4,270.813,1.788725231
1993-05-01,151.8,270.813,1.784011858
1993-06-01,152.1,270.813,1.780493097
1993-07-01,152.3,270.813,1.778154957
1993-08-01,152.8,270.813,1.772336387
1993-09-01,152.9,270.813,1.77117724
1993-10-01,153.4,270.813,1.765404172
1993-11-01,153.9,270.813,1.759668616
1993-12-01,154.3,270.813,1.755106935
1994-01-01,154.5,270.813,1.752834951
1994-02-01,154.8,270.813,1.749437984
1994-03-01,155.3,270.813,1.743805538
1994-04-01,155.5,270.813,1.741562701
1994-05-01,155.9,270.813,1.737094291
1994-06-01,156.4,270.813,1.731540921
1994-07-01,156.7,270.813,1.728225909
1994-08-01,157.1,270.813,1.723825589
1994-09-01,157.5,270.813,1.719447619
1994-10-01,157.8,270.813,1.716178707
1994-11-01,158.2,270.813,1.711839444
1994-12-01,158.3,270.813,1.710758054
1995-01-01,159,270.813,1.703226415
1995-02-01,159.4,270.813,1.698952321
1995-03-01,159.9,270.813,1.693639775
1995-04-01,160.4,270.813,1.688360349
1995-05-01,160.7,270.813,1.685208463
1995-06-01,161.1,270.813,1.681024209
1995-07-01,161.4,270.813,1.677899628
1995-08-01,161.8,270.813,1.673751545
1995-09-01,162.2,270.813,1.669623921
1995-10-01,162.7,270.813,1.664492932
1995-11-01,163,270.813,1.661429448
1995-12-01,163.1,270.813,1.660410791
1996-01-01,163.7,270.813,1.654324985
1996-02-01,164,270.813,1.65129878
1996-03-01,164.4,270.813,1.647281022
1996-04-01,164.6,270.813,1.645279465
1996-05-01,165,270.813,1.641290909
1996-06-01,165.4,270.813,1.637321644
1996-07-01,165.7,270.813,1.634357272
1996-08-01,166,270.813,1.631403614
1996-09-01,166.5,270.813,1.626504505
1996-10-01,166.8,270.813,1.623579137
1996-11-01,167.2,270.813,1.619694976
1996-12-01,167.4,270.813,1.617759857
1997-01-01,167.8,270.813,1.613903456
1997-02-01,168.1,270.813,1.6110232
1997-03-01,168.4,270.813,1.608153207
1997-04-01,168.9,270.813,1.60339254
1997-05-01,169.2,270.813,1.600549645
1997-06-01,169.4,270.813,1.598659976
1997-07-01,169.7,270.813,1.595833824
1997-08-01,169.8,270.813,1.594893993
1997-09-01,170.2,270.813,1.591145711
1997-10-01,170.6,270.813,1.587415006
1997-11-01,170.8,270.813,1.585556206
1997-12-01,171.2,270.813,1.581851636
1998-01-01,171.6,270.813,1.578164336
1998-02-01,171.9,270.813,1.575410122
1998-03-01,172.2,270.813,1.572665505
1998-04-01,172.5,270.813,1.569930435
1998-05-01,172.9,270.813,1.566298438
1998-06-01,173.2,270.813,1.56358545
1998-07-01,173.5,270.813,1.560881844
1998-08-01,174,270.813,1.556396552
1998-09-01,174.2,270.813,1.554609644
1998-10-01,174.4,270.813,1.552826835
1998-11-01,174.8,270.813,1.549273455
1998-12-01,175.4,270.813,1.543973774
1999-01-01,175.6,270.813,1.542215262
1999-02-01,175.6,270.813,1.542215262
1999-03-01,175.7,270.813,1.541337507
1999-04-01,176.3,270.813,1.536091889
1999-05-01,176.5,270.813,1.534351275
1999-06-01,176.6,270.813,1.533482446
1999-07-01,177.1,270.813,1.529153021
1999-08-01,177.3,270.813,1.527428088
1999-09-01,177.8,270.813,1.523132733
1999-10-01,178.1,270.813,1.520567097
1999-11-01,178.4,270.813,1.51801009
1999-12-01,178.7,270.813,1.515461668
2000-01-01,179.3,270.813,1.510390407
2000-02-01,179.4,270.813,1.509548495
2000-03-01,180,270.813,1.504516667
2000-04-01,180.3,270.813,1.502013311
2000-05-01,180.7,270.813,1.498688434
2000-06-01,181.1,270.813,1.495378244
2000-07-01,181.5,270.813,1.492082645
2000-08-01,181.9,270.813,1.488801539
2000-09-01,182.3,270.813,1.485534833
2000-10-01,182.6,270.813,1.483094195
2000-11-01,183.1,270.813,1.479044238
2000-12-01,183.3,270.813,1.477430442
2001-01-01,183.9,270.813,1.472610114
2001-02-01,184.4,270.813,1.468617137
2001-03-01,184.7,270.813,1.466231727
2001-04-01,185.1,270.813,1.463063209
2001-05-01,185.3,270.813,1.46148408
2001-06-01,186,270.813,1.455983871
2001-07-01,186.4,270.813,1.452859442
2001-08-01,186.7,270.813,1.450524906
2001-09-01,187.1,270.813,1.447423838
2001-10-01,187.4,270.813,1.445106724
2001-11-01,188.1,270.813,1.439728868
2001-12-01,188.4,270.813,1.437436306
2002-01-01,188.7,270.813,1.435151033
2002-02-01,189.1,270.813,1.432115283
2002-03-01,189.2,270.813,1.431358351
2002-04-01,189.7,270.813,1.427585662
2002-05-01,190,270.813,1.425331579
2002-06-01,190.2,270.813,1.423832808
2002-07-01,190.5,270.813,1.421590551
2002-08-01,191.1,270.813,1.417127159
2002-09-01,191.3,270.813,1.415645583
2002-10-01,191.5,270.813,1.414167102
2002-11-01,191.9,270.813,1.411219385
2002-12-01,192.1,270.813,1.40975013
2003-01-01,192.4,270.813,1.407551975
2003-02-01,192.5,270.813,1.406820779
2003-03-01,192.5,270.813,1.406820779
2003-04-01,192.5,270.813,1.406820779
2003-05-01,192.9,270.813,1.403903577
2003-06-01,193,270.813,1.403176166
2003-07-01,193.4,270.813,1.400274043
2003-08-01,193.6,270.813,1.398827479
2003-09-01,193.7,270.813,1.398105318
2003-10-01,194,270.813,1.395943299
2003-11-01,194,270.813,1.395943299
2003-12-01,194.2,270.813,1.394505664
2004-01-01,194.6,270.813,1.39163926
2004-02-01,194.9,270.813,1.389497178
2004-03-01,195.5,270.813,1.385232737
2004-04-01,195.9,270.813,1.382404288
2004-05-01,196.2,270.813,1.38029052
2004-06-01,196.6,270.813,1.377482197
2004-07-01,196.8,270.813,1.376082317
2004-08-01,196.9,270.813,1.375383443
2004-09-01,197.5,270.813,1.371205063
2004-10-01,197.9,270.813,1.368433552
2004-11-01,198.3,270.813,1.365673222
2004-12-01,198.6,270.813,1.363610272
2005-01-01,199,270.813,1.360869347
2005-02-01,199.4,270.813,1.358139418
2005-03-01,200.1,270.813,1.353388306
2005-04-01,200.2,270.813,1.352712288
2005-05-01,200.5,270.813,1.350688279
2005-06-01,200.6,270.813,1.350014955
2005-07-01,200.9,270.813,1.347999004
2005-08-01,201.1,270.813,1.346658379
2005-09-01,201.3,270.813,1.345320417
2005-10-01,202,270.813,1.340658416
2005-11-01,202.5,270.813,1.337348148
2005-12-01,202.8,270.813,1.335369822
2006-01-01,203.2,270.813,1.332741142
2006-02-01,203.6,270.813,1.33012279
2006-03-01,204.3,270.813,1.325565345
2006-04-01,204.8,270.813,1.322329102
2006-05-01,205.4,270.813,1.318466407
2006-06-01,205.9,270.813,1.315264692
2006-07-01,206.3,270.813,1.312714493
2006-08-01,206.8,270.813,1.309540619
2006-09-01,207.2,270.813,1.307012548
2006-10-01,207.6,270.813,1.30449422
2006-11-01,207.8,270.813,1.303238691
2006-12-01,208.1,270.813,1.301359923
2007-01-01,208.6,270.813,1.298240652
2007-02-01,209.135,270.813,1.29491955
2007-03-01,209.418,270.813,1.293169642
2007-04-01,209.747,270.813,1.291141232
2007-05-01,210.058,270.813,1.289229641
2007-06-01,210.392,270.813,1.287182973
2007-07-01,210.773,270.813,1.28485622
2007-08-01,211.119,270.813,1.282750487
2007-09-01,211.554,270.813,1.280112879
2007-10-01,212.077,270.813,1.276956011
2007-11-01,212.66,270.813,1.273455281
2007-12-01,213.168,270.813,1.270420513
2008-01-01,213.771,270.813,1.266836942
2008-02-01,213.939,270.813,1.265842133
2008-03-01,214.42,270.813,1.263002518
2008-04-01,214.56,270.813,1.262178412
2008-05-01,214.936,270.813,1.25997041
2008-06-01,215.424,270.813,1.257116199
2008-07-01,215.965,270.813,1.253967078
2008-08-01,216.393,270.813,1.251486878
2008-09-01,216.713,270.813,1.249638923
2008-10-01,216.788,270.813,1.249206598
2008-11-01,216.947,270.813,1.248291057
2008-12-01,216.925,270.813,1.248417656
2009-01-01,217.346,270.813,1.245999466
2009-02-01,217.792,270.813,1.243447877
2009-03-01,218.253,270.813,1.240821432
2009-04-01,218.706,270.813,1.238251351
2009-05-01,218.904,270.813,1.237131345
2009-06-01,219.112,270.813,1.235956954
2009-07-01,219.263,270.813,1.235105786
2009-08-01,219.496,270.813,1.233794693
2009-09-01,219.92,270.813,1.231415969
2009-10-01,220.501,270.813,1.228171301
2009-11-01,220.666,270.813,1.227252952
2009-12-01,220.881,270.813,1.226058375
2010-01-01,220.633,270.813,1.227436512
2010-02-01,220.731,270.813,1.226891556
2010-03-01,220.783,270.813,1.226602592
2010-04-01,220.822,270.813,1.226385958
2010-05-01,220.962,270.813,1.225608928
2010-06-01,221.194,270.813,1.224323445
2010-07-01,221.363,270.813,1.223388733
2010-08-01,221.509,270.813,1.222582378
2010-09-01,221.711,270.813,1.221468488
2010-10-01,221.83,270.813,1.220813235
2010-11-01,222.149,270.813,1.21906018
2010-12-01,222.343,270.813,1.217996519
2011-01-01,222.803,270.813,1.215481838
2011-02-01,223.213,270.813,1.213249228
2011-03-01,223.454,270.813,1.211940713
2011-04-01,223.727,270.813,1.210461858
2011-05-01,224.175,270.813,1.208042824
2011-06-01,224.697,270.813,1.205236385
2011-07-01,225.218,270.813,1.202448295
2011-08-01,225.862,270.813,1.199019755
2011-09-01,226.118,270.813,1.197662283
2011-10-01,226.506,270.813,1.195610712
2011-11-01,226.899,270.813,1.193539857
2011-12-01,227.405,270.813,1.190884105
2012-01-01,227.877,270.813,1.188417436
2012-02-01,228.034,270.813,1.187599218
2012-03-01,228.478,270.813,1.185291363
2012-04-01,228.905,270.813,1.183080317
2012-05-01,229.224,270.813,1.181433881
2012-06-01,229.623,270.813,1.179380985
2012-07-01,229.97,270.813,1.177601426
2012-08-01,230.233,270.813,1.176256227
2012-09-01,230.659,270.813,1.174083821
2012-10-01,231.024,270.813,1.172228859
2012-11-01,231.33,270.813,1.170678252
2012-12-01,231.725,270.813,1.168682706
2013-01-01,232.229,270.813,1.166146347
2013-02-01,232.569,270.813,1.164441521
2013-03-01,232.794,270.813,1.163316065
2013-04-01,232.832,270.813,1.163126203
2013-05-01,232.996,270.813,1.162307507
2013-06-01,233.35,270.813,1.160544247
2013-07-01,233.88,270.813,1.157914315
2013-08-01,234.336,270.813,1.155661102
2013-09-01,234.7,270.813,1.153868769
2013-10-01,234.921,270.813,1.152783276
2013-11-01,235.359,270.813,1.150637962
2013-12-01,235.759,270.813,1.148685734
2014-01-01,235.961,270.813,1.147702375
2014-02-01,236.185,270.813,1.146613883
2014-03-01,236.625,270.813,1.144481775
2014-04-01,237.072,270.813,1.142323851
2014-05-01,237.529,270.813,1.140126048
2014-06-01,237.837,270.813,1.138649579
2014-07-01,238.195,270.813,1.136938223
2014-08-01,238.405,270.813,1.135936746
2014-09-01,238.786,270.813,1.134124279
2014-10-01,239.191,270.813,1.132203971
2014-11-01,239.458,270.813,1.130941543
2014-12-01,239.584,270.813,1.130346768
2015-01-01,239.811,270.813,1.129276805
2015-02-01,240.172,270.813,1.127579401
2015-03-01,240.755,270.813,1.124848913
2015-04-01,241.346,270.813,1.12209442
2015-05-01,241.688,270.813,1.120506604
2015-06-01,242.064,270.813,1.118766111
2015-07-01,242.565,270.813,1.116455383
2015-08-01,242.817,270.813,1.115296705
2015-09-01,243.316,270.813,1.11300942
2015-10-01,243.768,270.813,1.110945653
2015-11-01,244.241,270.813,1.108794183
2015-12-01,244.547,270.813,1.107406756
2016-01-01,244.955,270.813,1.105562246
2016-02-01,245.51,270.813,1.103063012
2016-03-01,245.913,270.813,1.101255322
2016-04-01,246.551,270.813,1.098405604
2016-05-01,247.137,270.813,1.095801114
2016-06-01,247.54,270.813,1.094017129
2016-07-01,247.829,270.813,1.092741366
2016-08-01,248.423,270.813,1.090128531
2016-09-01,248.842,270.813,1.088292973
2016-10-01,249.142,270.813,1.086982524
2016-11-01,249.481,270.813,1.085505509
2016-12-01,249.92,270.813,1.083598752
2017-01-01,250.467,270.813,1.081232258
2017-02-01,250.998,270.813,1.078944852
2017-03-01,250.944,270.813,1.079177028
2017-04-01,251.227,270.813,1.077961366
2017-05-01,251.43,270.813,1.077091039
2017-06-01,251.746,270.813,1.075739039
2017-07-01,251.985,270.813,1.074718733
2017-08-01,252.535,270.813,1.072378086
2017-09-01,252.812,270.813,1.071203107
2017-10-01,253.526,270.813,1.0681863
2017-11-01,253.816,270.813,1.066965834
2017-12-01,254.344,270.813,1.064750889
2018-01-01,255.204,270.813,1.061162834
2018-02-01,255.711,270.813,1.059058859
2018-03-01,256.271,270.813,1.056744618
2018-04-01,256.63,270.813,1.055266337
2018-05-01,257.145,270.813,1.05315289
2018-06-01,257.399,270.813,1.052113645
2018-07-01,257.699,270.813,1.050888828
2018-08-01,257.891,270.813,1.05010644
2018-09-01,258.368,270.813,1.04816773
2018-10-01,258.917,270.813,1.045945226
2018-11-01,259.439,270.813,1.043840749
2018-12-01,260.063,270.813,1.041336138
2019-01-01,260.766,270.813,1.038528796
2019-02-01,261.186,270.813,1.03685879
2019-03-01,261.567,270.813,1.035348496
2019-04-01,261.997,270.813,1.03364924
2019-05-01,262.217,270.813,1.032782009
2019-06-01,262.739,270.813,1.030730116
2019-07-01,263.28,270.813,1.028612124
2019-08-01,263.877,270.813,1.026284974
2019-09-01,264.388,270.813,1.024301406
2019-10-01,264.97,270.813,1.022051553
2019-11-01,265.548,270.813,1.019826924
2019-12-01,266.02,270.813,1.018017442
2020-01-01,266.698,270.813,1.015429437
2020-02-01,267.402,270.813,1.012756075
2020-03-01,267.068,270.813,1.014022646
2020-04-01,265.796,270.813,1.018875378
2020-05-01,265.461,270.813,1.020161154
2020-06-01,265.839,270.813,1.018710573
2020-07-01,267.373,270.813,1.012865921
2020-08-01,268.39,270.813,1.009027907
2020-09-01,268.9,270.813,1.007114169
2020-10-01,269.28,270.813,1.005692959
2020-11-01,269.967,270.813,1.003133716
2020-12-01,270.34,270.813,1.001749649
2021-01-01,270.422,270.813,1.001445888
2021-02-01,270.813,270.813,1
